StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q18,Gender,Investing knowledge,Age,Education,Household income,Ethnicity,Stock_1,Q26,Q22,Gender,Investing knowledge,Age,Education,Household income,Ethnicity,Stock_1,Q25
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Prolific ID:,Did you find this explanation useful?,How many years have you been investing?,What is your age?,What is your education level?,What is your household income per year?,What is your ethnicity?,"Given the following information, how likely will you purchase this stock, on the scale of 0-100?
 

Price trends over the past year: The price of the stock on March 12, 2021 is $342.44, and the price of the stock on March 11, 2022 is $442.10.


Earnings Per Share (EPS): 15.97

Price-to-Earnings (P/E) Ratio: 27.68

1 Year Target Estimate: $539.14



Definitions

Earnings Per Share (EPS) - EPS indicates how much money a company makes for each share of its stock and is a widely used metric for estimating corporate value. A higher EPS indicates greater value because investors will pay more for a company's shares if they think the company has higher profits relative to its share price.



Price-to-Earnings (P/E) Ratio - ​​The price-to-earnings ratio (P/E ratio) is the ratio for valuing a company that measures its current share price relative to its earnings per share (EPS). A high P/E ratio could mean that a company's stock is overvalued, or else that investors are expecting high growth rates in the future. The market average P/E ratio currently ranges from 20-25, so a higher PE above that could be considered bad, while a lower PE ratio could be considered better.



1 Year Target Estimate - 1 year target estimate is simply the price that analysts have predicted the stock will be one year from now. - Likelihood to invest in this stock","Thank you for answering the questions. Please click the ""next arrow"" in the survey to be directed to Prolific and have your answers be marked as complete.",Please enter your Prolific ID:,Did you find this explanation useful?,How many years have you been investing?,What is your age?,What is your education level?,What is your household income per year?,What is your ethnicity?,"Given the following information, how likely will you purchase this stock, on the scale of 0-100?
 

Price trends over the past year: The price of the stock on March 12, 2021 is $342.44, and the price of the stock on March 11, 2022 is $442.10.


Earnings Per Share (EPS): 15.97

Price-to-Earnings (P/E) Ratio: 27.68

1 Year Target Estimate: $539.14

Environment, Social, and Governance (ESG) Rating: 3.8



Definitions

Earnings Per Share (EPS) - EPS indicates how much money a company makes for each share of its stock and is a widely used metric for estimating corporate value. A higher EPS indicates greater value because investors will pay more for a company's shares if they think the company has higher profits relative to its share price.



Price-to-Earnings (P/E) Ratio - ​​The price-to-earnings ratio (P/E ratio) is the ratio for valuing a company that measures its current share price relative to its earnings per share (EPS). A high P/E ratio could mean that a company's stock is overvalued, or else that investors are expecting high growth rates in the future. The market average P/E ratio currently ranges from 20-25, so a higher PE above that could be considered bad, while a lower PE ratio could be considered better.



1 Year Target Estimate - 1 year target estimate is simply the price that analysts have predicted the stock will be one year from now.



Environment, Social, and Governance (ESG) Rating - A good ESG rating means a company is managing its environment, social, and governance risks well relative to its peers. A poor ESG rating is the opposite -- the company has relatively higher unmanaged exposure to ESG risks. The rating ranges from 0 (laggard in comparative performance) to10 (leader in comparative performance). - Likelihood to invest in this stock","Thank you for answering the questions. Please click the ""next arrow"" in the survey to be directed to Prolific and have your answers be marked as complete."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID46""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID27""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID45""}"
2022-03-13 15:30:49,2022-03-13 15:32:00,IP Address,67.161.2.184,100,70,True,2022-03-13 15:32:00,R_54hYa3cyF7oFaMh,,,,,37.89190673828125,-122.2635955810546875,anonymous,EN,,,,,,,,,,,Male,0-1 year,20-59,Postgraduate,$100-$150k,White,45,
2022-03-13 15:32:55,2022-03-13 15:33:29,IP Address,135.180.196.12,100,34,True,2022-03-13 15:33:29,R_3k5L6q6P6wR2Pc9,,,,,37.8610992431640625,-122.25640106201171875,anonymous,EN,,Male,0-1 year,< 20,Undergraduate,$100-$150k,White,9,,,,,,,,,,
2022-03-13 15:33:01,2022-03-13 15:33:56,IP Address,135.180.196.12,100,54,True,2022-03-13 15:33:56,R_3qPsj0cMAsRjVfC,,,,,37.8610992431640625,-122.25640106201171875,anonymous,EN,,,,,,,,,,,Male,1-5 years,20-59,Undergraduate,$150k+,White,56,
2022-03-13 15:33:27,2022-03-13 15:34:21,IP Address,50.224.160.106,100,53,True,2022-03-13 15:34:21,R_3h9hZ71BLqa5Tq2,,,,,38.791107177734375,-77.526397705078125,anonymous,EN,,Male,0-1 year,< 20,High School,$100-$150k,White,,,,,,,,,,,
2022-03-13 15:33:36,2022-03-13 15:35:01,IP Address,174.194.192.231,100,85,True,2022-03-13 15:35:02,R_1pMZfiiMyN0TrOV,,,,,37.6403045654296875,-122.0666961669921875,anonymous,EN,,Male,0-1 year,< 20,Undergraduate,$150k+,Hispanic,51,,,,,,,,,,
2022-03-13 15:33:34,2022-03-13 15:35:05,IP Address,174.194.148.66,100,90,True,2022-03-13 15:35:05,R_3R9HSolE2xUNEdO,,,,,37.3511962890625,-121.8845977783203125,anonymous,EN,,,,,,,,,,,Male,1-5 years,20-59,Undergraduate,<$25k,White,20,
2022-03-13 15:33:19,2022-03-13 15:35:10,IP Address,184.23.22.253,100,111,True,2022-03-13 15:35:11,R_2bTYZnsO9IxKptH,,,,,37.8636932373046875,-122.2760009765625,anonymous,EN,,Male,1-5 years,20-59,Undergraduate,<$25k,Asian,76,,,,,,,,,,
2022-03-13 15:34:46,2022-03-13 15:35:20,IP Address,74.64.32.190,100,34,True,2022-03-13 15:35:21,R_UhcBcxmm2n2bweB,,,,,40.7263031005859375,-73.9817962646484375,anonymous,EN,,,,,,,,,,,Male,0-1 year,20-59,Undergraduate,$50-$100k,White,30,
